symbol,name
GTPL,GTPL Hathway
GUFICBIO,Gufic Biosciences
GUJALKALI,Gujarat Alkalies
GUJAPOLLO,Gujarat Apollo Inds
GUJGASLTD,Gujarat Energy
GUJRAFFIA,Gujarat Raffia Inds
GUJTHEM,Guj Themis Biosyn
GULFOILLUB,Gulf Oil Lubricants
GULFPETRO,GP Petroleums
GULPOLY,Gulshan Polyols
GVPIL,GE Power India
GVPTECH,GVP Infotech
GVT&D,GE Vernova T&D India
HAL,HAL
HALDER,Halder Venture
HALDYNGL,Haldyn Glass
HALEOSLABS,Haleos Labs
HAPPSTMNDS,Happiest Minds Tech.
HAPPYFORGE,Happy Forgings
HARDWYN,Hardwyn India
HARIOMPIPE,Hariom Pipe Inds
HARRMALAYA,Harrisons Malayalam
HARSHA,Harsha Engineers Int
HATHWAY,Hathway Cable
HATSUN,Hatsun Agro Prod
HAVELLS,Havells India
HAVISHA,Sri Havisha Hosp
HAWKINCOOK,Hawkins Cookers
HBESD,HB Estate Developers
HBLENGINE,HBL Engineering
HCC,Hindustan Constr
HCG,Healthcare Global
HCL-INSYS,HCL Infosystems
HCLTECH,HCL Tech.
HDBFS,HDB Financial Services
HDFCAMC,HDFC Asset Mgmt Co
HDFCBANK,HDFC Bank
HDFCBSE500,HDFCBSE500
HDFCGOLD,HDFC MF - GETF
HDFCGROWTH,HDFCGROWTH
HDFCLIFE,HDFC Life Insurance
HDFCLIQUID-EQ,HDFC Nifty 1D Rate Liquid ETF - Growth
HDFCLOWVOL,HDFC NIFTY100 Low Vo
HDFCMID150,HDFCMID150
HDFCMOMENT,HDFC NIFTY200 Mom 30
HDFCNEXT50,HDFCNEXT50
HDFCNIF100,HDFCNIF100
HDFCNIFBAN,HDFCNIFBAN
HDFCNIFIT,HDFCNIFIT
HDFCNIFTY,HDFCNIFTY
HDFCPSUBK,HDFCPSUBK
HDFCPVTBAN,HDFCPVTBAN
HDFCQUAL,HDFCQUAL
HDFCSENSEX,HDFCSENSEX
HDFCSILVER,HDFCSILVER
HDFCSML250,HDFCSML250
HDFCVALUE,HDFCVALUE
HEADSUP,Mandhana Retail
HEALTHADD,HEALTHADD
HEALTHCARE,HEALTHCARE
HEALTHIETF,ICICIPHARM
HEALTHX,Health X Platform
HEALTHY,BSL Nifty Healthcare ETF
HECPROJECT,HEC Infra Projects
HEG,HEG
HEIDELBERG,Heidelberg Cement
HEMIPROP,Hemisphere Prop
HERANBA,Heranba Industries
HERITGFOOD,Heritage Foods
HEROMOTOCO,Hero MotoCorp
HESTERBIO,Hester Biosciences
HEXATRADEX,Hexa Tradex
HEXT,HEXT
HFCL,HFCL
HGINFRA,HGIEL
HGM,HandsOn Global Manag
HGS,Hinduja Global
HIKAL,Hikal
HIMATSEIDE,Himatsingka Seide
HINDALCO,Hindalco
HINDCOMPOS,Hindustan Composites
HINDCOPPER,Hindustan Copper
HINDOILEXP,HOEC
HINDPETRO,HPCL
HINDUNILVR,Hindustan Unilever
HINDWAREAP,Hindware Home Innovation Limited
HINDZINC,Hindustan Zinc
HIRECT,Hind Rectifiers
HISARMETAL,Hisar Metal Inds
HITECH,Hi-Tech Pipes
HLEGLAS,HLE Glascoat
HLVLTD,HLV
HMAAGRO,HMA Agro Indus
HMVL,Hindustan Media
HNDFDS,Hindustan Foods
HNGSNGBEES,Nippon ETF HangSeng BeES
HOMEFIRST,Home First Finance
HONASA,Honasa Consumer
HONAUT,Honeywell Automation
HONDAPOWER,Honda Power Prods
HPAL,Hp Adhesives
HPIL,Hindprakash Inds
HPL,HPL Electric & Power
HSBCGOLD,HSBCGOLD
HSCL,Himadri Speciality
HTMEDIA,HT Media
HUBTOWN,Hubtown
HUDCO,HUDCO
HUHTAMAKI,Huhtamaki India
HYBRIDFIN,Hybrid Fin Serv
HYUNDAI,Hyundai Motor India
ICDSLTD,ICDS
ICEMAKE,Ice Make Refrig
ICICIAMC,ICICI Prud.Asset Man
ICICIB22,ICICIB22
ICICIBANK,ICICI Bank
ICICIGI,ICICI Lombard Gen.
ICICIPRULI,ICICI Prudential
ICIL,Indo Count Inds
ICRA,ICRA
IDBI,IDBI Bank
IDEA,Vodafone Idea
IDFCFIRSTB,IDFC First Bank
IDFNIFTYET,IDFC Nifty ETF
IEX,IEX
IFBIND,IFB Industries
IFCI,IFCI
IFGLEXPOR,IFGL Refractories
IGARASHI,Igarashi Motors
IGCL,Indogulf Cropscience
IGIL,International Gemolo
IGL,Indraprastha Gas
IGPL,IGPL
IIFL,IIFL Finance
IIFLCAPS,IIFL Securities
IITL,Industrial Invest
IKIO,IKIO Technologies
IKS,Inventurus Knowledge
IMAGICAA,Imagicaaworld
IMFA,IMFA
IMPAL,IMPAL
INA,Insolation Energy
INCREDIBLE,Adhunik Industries
INDBANK,Indbank Merchant
INDGN,Indegene
INDHOTEL,Indian Hotel
INDIACEM,India Cements
INDIAGLYCO,India Glycols
INDIAMART,Indiamart Inter
INDIANB,Indian Bank
INDIANCARD,Indian Card Cloth
INDIANHUME,Indian Hume Pipe
INDIASHLTR,India Shelter Fin.
INDIGO,Interglobe Aviation
INDIGOPNTS,Indigo Paints
INDIQUBE,Indiqube Spaces
INDNIPPON,India Nippon Elec
INDOAMIN,Indo Amines
INDOBORAX,Indo Borax
INDOCO,Indoco Remedies
INDOFARM,Indo Farm Equipment
INDORAMA,Indo Rama Synthetics
INDOSTAR,IndoStar Capital
INDOTHAI,Indo Thai Secs
INDOUS,Indo US Bio-Tech
INDPRUD,Ind & Prud Invest
INDRAMEDCO,Indrapras Med Corp
INDSWFTLAB,Ind-Swift Labs
INDTERRAIN,Indian Terrain
INDUSINDBK,IndusInd Bank
INDUSTOWER,Indus Towers
INFOBEAN,Infobeans Tech.
INFOMEDIA,Infomedia Press
INFRA,INFRA
INFRABEES,Nippon India ETF Infra BeES
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF
INFY,Infosys
INGERRAND,Ingersoll Rand
INNOVACAP,Innova Captab
INNOVANA,Innovana Thinklabs
INNOVISION,Innovision
INOXGREEN,Inox Green Energy Se
INOXINDIA,Inox India
INOXWIND,INOX Wind
INSECTICID,Insecticides India
INTELLECT,Intellect Design
INTENTECH,Intense Tech
INTERARCH,Interarch Building
INTERNET,INTERNET
INTLCONV,Intl Conveyors
INVENTURE,Inventure Growth
INVPRECQ,IPCL
IOB,Indian Overseas Bank
IOC,IOCL
IOLCP,IOLCP
IONEXCHANG,Ion Exchange
IPCALAB,Ipca Laboratories
IPL,India Pesticides
IRB,IRB Infra Devs
IRCON,Ircon International
IRCTC,IRCTC
IREDA,Indian Ren. Energy
IRFC,IRFC
IRIS,IRIS RegTech Solut.
IRISDOREME,Iris Clothings
IRMENERGY,IRM Energy
ISFT,Intrasoft Tech
ISGEC,ISGEC Heavy Engg
ISHANCH,Ishan Dyes and Chem.
IT,KOTAKIT
ITADD,ITETFADD
ITBEES,Nippon India ETF IT
ITBETA,NIFITETF
ITC,ITC
ITCHOTELS,ITC Hotels
ITDC,ITDC
ITETF,ITETF
ITI,ITI
ITIETF,ICICITECH
IVALUE,Ivalue Infosolutions
IVC,IL&FS Investment
IVP,IVP
IVZINGOLD,Invesco Gold ETF
IVZINNIFTY,Invesco Nifty ETF
IWP,Indian Wood Prods
IXIGO,Le Travenues Techno
IZMO,Izmo
J&KBANK,Jammu & Kashmir Bank
JAGRAN,Jagran Prakashan
JAGSNPHARM,Jagson Pal Pharma
JAICORPLTD,Jai Corp
JAINREC,Jain Resource Recycl
JAIPURKURT,Nandani Creation
JAMNAAUTO,Jamna Auto Inds
JARO,Jaro Inst. of Tech&R
JASH,Jash Engineering
JAYAGROGN,Jayant Agro-Organics
JAYBARMARU,Jay Bharat Maruti
JAYKAY,Jaykay Enterprises
JAYNECOIND,Jayaswal Neco Inds
JAYSREETEA,Jay Shree Tea
JBCHEPHARM,JB Chem & Pharma
JBMA,JBM Auto
JETFREIGHT,Jet Freight Logistic
JGCHEM,JG Chemicals
JHS,JHS Svendgaard Lab
JINDALPHOT,Jindal Photo
JINDALPOLY,Jindal Poly Films
JINDALSAW,Jindal SAW
JINDALSTEL,Jindal Steel
JINDRILL,Jindal Drilling
JINDWORLD,Jindal Worldwide
JIOFIN,JIO Financial Serv.
JISLDVREQS,Jain Irrigation - DVR
JISLJALEQS,Jain Irrigation Sys
JITFINFRA,JITF Infra
JKCEMENT,JK Cement
JKIL,J Kumar Infra
JKLAKSHMI,JK Lakshmi Cement
JKPAPER,JK Paper
JKTYRE,JK Tyre & Industries
JLHL,Jupiter Life Line
JMA,Jullundur Motor
JMFINANCIL,JM Financial
JNKINDIA,JNK India
JPOLYINVST,Jindal Poly Invst
JPPOWER,Jaiprakash Power
JSFB,Jana Small Fin. Bank
JSL,Jindal Stainless
JSLL,Jeena Sikho Life
JSWCEMENT,JSW Cement
JSWDULUX,JSW Dulux
JSWENERGY,JSW Energy
JSWHL,JSW Holdings
JSWINFRA,JSW Infrastructure
JSWSTEEL,JSW Steel
JTEKTINDIA,JTEKT India
JTLIND,JTL Industries
JUBLCPL,Jubilant Agri & Con.
JUBLFOOD,Jubilant Foodworks
JUBLINGREA,Jubilant Ingrevia
JUBLPHARMA,Jubilant Pharmova
JUNIORBEES,JUNIORBEES
JUNIPER,Juniper Hotels
JUSTDIAL,Just Dial
JWL,Jupiter Wagons
JYOTHYLAB,Jyothy Labs
JYOTICNC,Jyoti CNC Automation
JYOTISTRUC,Jyoti Structures
KABRAEXTRU,Kabra Extrus.technik
KAJARIACER,Kajaria Ceramics
KALAMANDIR,Sai Silks (Kalaman)
KALPATARU,Kalpataru
KALYANIFRG,Kalyani Forge
KALYANKJIL,Kalyan Jewellers
KAMAHOLD,Kama Holdings
KAMATHOTEL,Kamat Hotels
KAMDHENU,Kamdhenu
KAMOPAINTS,Kamdhenu Ventures
KANANIIND,Kanani Industries
KANPRPLA,Kanpur Plastipack
KANSAINER,Kansai Nerolac
KAPSTON,Kapston Services
KARMAENG,Karma Energy
KARURVYSYA,Karur Vysya Bank
KAUSHALYA,Kaushalya Infra
KAVDEFENCE,Kavveri Def. Wireles
KAYA,Kaya
KAYNES,Kaynes Technology
KCP,KCP
KCPSUGIND,KCP Sugar & Inds
KDDL,KDDL
KEC,KEC International
KEEPLEARN,DSJ Communications
KEI,KEI Industries
KELLTONTEC,Kellton Tech Soln
KENNAMET,Kennametal
KERNEX,Kernex Microsystem
KEYFINSERV,Keynote Financial
KFINTECH,KFin Technologies
KHADIM,Khadim
KHANDSE,Khandwala Securities
KICL,KICL
KILITCH,Kilitch Drugs
KIMS,KIMS
KINGFA,Kingfa Science
KIOCL,KIOCL
KIRANVYPAR,Kiran Vyapar
KIRIINDUS,Kiri Industries
KIRLFER,Kirloskar Ferrous
KIRLOSBROS,Kirloskar Brothers
KIRLOSENG,Kirloskar Oil Engines
KIRLOSIND,Kirloskar Industries
KIRLPNU,Kirloskar Pneumatic
KISSHT,OnEMI Technology
KITEX,Kitex Garments
KKCL,Kewal Kiran Clothing
KLBRENG-B,Kilburn Eng
KMEW,Knowledge Marine
KMSUGAR,KM Sugar Mills
KNAGRI,KN Agri Resources
KNRCON,KNR Constructions
KOHINOOR,Kohinoor Foods
KOKUYOCMLN,Kokuyo Camlin
KOLTEPATIL,Kolte-Patil Develop.
KOTAKBANK,Kotak Mahindra Bank
KOTARISUG,Kothari Sugars
KOTHARIPET,Kothari Petrochem
KOTHARIPRO,Kothari Products
KOTIC,Kothari Industrial
KOTYARK,Kotyark Industries
KOVAI,Kovai Medical Center
KPEL,KP ENERGY
KPIGREEN,KPI Green Energy
KPIL,Kalpataru Projects
KPITTECH,KPIT Tech
KPL,Kwality Pharma
KPRMILL,K.P.R. Mill
KRBL,KRBL
KREBSBIO,Krebs Biochem
KRIDHANINF,Kridhan Infra
KRISHANA,Krishana Phoschem
KRISHIVAL,Krishival Foods
KRISHNADEF,Krishna Defence
KRITIKA,Kritika Wires
KRONOX,Kronox Lab Sciences
KROSS,Kross
KRSNAA,Krsnaa
KRYSTAL,Krystal Integrated Services Ltd
KSB,KSB
KSCL,Kaveri Seed Co
KSHINTL,KSH International
KSL,Kalyani Steels
KSOLVES,Ksolves India
KTKBANK,Karnataka Bank
KUANTUM,Kuantum Papers
KWIL,Kwality Wall's India
LAGNAM,Lagnam Spintex
LAHOTIOV,Lahoti Overseas
LAL,Lorenzini Apparels
LALPATHLAB,Dr Lal PathLabs
LAMBODHARA,Lambodhara Textile
LANCORHOL,Lancor Holdings
LANDMARK,Landmark Cars
LANDSMILL,Landsmill Green
LAOPALA,La Opala Rg
LASA,Lasa Supergenerics
LATENTVIEW,Latent View
LAURUSLABS,Laurus Labs
LAXMICOT,Laxmi Cotspin
LAXMIDENTL,Laxmi Denta
LEMERITE,Le Merite Exports
LEMONTREE,Lemon Tree Hotels
LENSKART,Lenskart Solutions
LEXUS,Lexus Granito
LFIC,Lakshmi Finance
LGBBROSLTD,LG Balakrishnan
LGEINDIA,LG Electronics India
LGHL,Laxmi Goldorna
LIBAS,Libas Consumer Prods
LIBERTSHOE,Liberty Shoes
LICHSGFIN,LIC Housing Finance
LICI,LIC
LICMFGOLD,LICMFGOLD
LICNETFGSC,LICNMFET
LICNETFN50,LICNETFN50
LICNETFSEN,LICNETFSEN
LICNFNHGP,LICNFNHGP
LICNMID100,LICNMID100
LINC,Linc
LINCOLN,Lincoln Pharma
LINDEINDIA,Linde India
LIQGRWBEES,LIQGRWBEES
LIQUID,LIQUID
LIQUID1,KOTAKLIQ
LIQUIDADD,DSP BSE Liquid
LIQUIDBEES,LIQUIDBEES
LIQUIDBETF,LIQUIDBETF
LIQUIDCASE,LIQUIDCASE
LIQUIDETF,LIQUIDETF
LIQUIDIETF,LIQUIDIETF
LIQUIDPLUS,LIQUIDPLUS
LIQUIDSBI,LIQUIDSBI
LIQUIDSHRI,LIQUIDSHRI
LLOYDSENGG,Lloyds Engr Works
LLOYDSENT,Lloyds enterprises limited
LLOYDSME,Lloyds Metals
LMW,LMW
LODHA,Lodha Developers
LORDSCHLO,Lords Chloro Alkali
LOTUSDEV,Sri Lotus Developers
LOTUSEYE,Lotus Eye Hosp
LOVABLE,Lovable Lingerie
LOWVOL-EQ,LOWVOL
LOWVOL1,KOTAKLOVOL
LOWVOLIETF,ICICILOVOL
LPDC,LPDCL
LT,L&T
LTF,L&T Finance
LTFOODS,LT Foods
LTGILTBEES,LTGILTBEES
LTGILTCASE,LTGILTCASE
LTM,LTM
LTTS,L&T Technology Serv.
LUMAXIND,Lumax Industries
LUMAXTECH,Lumax Auto Tech
LUPIN,Lupin
LUXIND,Lux Industries
LXCHEM,Laxmi Organic Inds.
LYKALABS,Lyka Labs
LYPSAGEMS,Lypsa Gems
M&M,Mahindra & Mahindra
M&MFIN,Mah & Mah Finl. Serv
MAANALU,Maan Aluminium
MACPOWER,Macpower CNC
MADHAV,Madhav Marbles
MADHAVIPL,Madhav Infra Proj
MADHUCON,Madhucon Projects
MADRASFERT,Madras Fertilizers
MAFANG,Mirae Asset NYSE FANG+ ETF
MAFATIND,Mafatlal Industries
MAGADSUGAR,Magadh Sugar & Energ
MAGNUM,Magnum Ventures
MAHABANK,Bank of Maharashtra
MAHAPEXLTD,Maha Rashtra Apex
MAHEPC,Mahindra EPC Irrig
MAHESHWARI,Maheshwari Logistics
MAHKTECH,MAHKTECH
MAHLIFE,Mahindra Lifespace
MAHLOG,Mahindra Logistics
MAHSCOOTER,Maharashtra Scooters
MAHSEAMLES,Maharashtra Seamless
MAITHANALL,Maithan Alloys
MAJESAUT,Majestic Auto
MAKEINDIA,MAMFGETF
MALLCOM,Mallcom
MALUPAPER,Malu Paper Mills
MAMATA,Mamata Machinery
MANAKALUCO,Manaksia Aluminium
MANAKCOAT,Manaksia Coated
MANAKSIA,Manaksia
MANALIPETC,Manali Petrochem
MANAPPURAM,Manappuram Finance
MANBA,Manba Finance
MANCREDIT,MCFL
MANGLMCEM,Mangalam Cement
MANINDS,Man Industries
MANINFRA,Man InfraConstruct
MANKIND,Mankind Pharma
MANOMAY,Manomay Tex India
MANORAMA,Manorama Inds
MANUFGBEES,MANUFGBEES
MANUGRAPH,Manugraph India
MANYAVAR,Vedant Fashions
MAPMYINDIA,CE Info Systems
MARATHON,Marathon Nextgen
MARICO,Marico
MARINE,Marine Electrials
MARKOLINES,Markolines Pave Tech
MARKSANS,Marksans Pharma
MARSONS,Marsons
MARUTI,Maruti Suzuki
MASFIN,MAS Financial
MASPTOP50,MASPTOP50
MASTEK,Mastek
MASTERTR,Master Trust
MATRIMONY,Matrimony.Com
MAXESTATES,Max Estates
MAXHEALTH,Max Healthcare
MAXIND,Max India
MAYURUNIQ,Mayur Uniquoters
MAZDA,Mazda
MAZDOCK,Mazagon Dock Ship
MBAPL,MBAPL
MBEL,M&B Engineering
MBLINFRA,MBL Infrastructures
MCCHRLS-B,Mac Charles
MCL,M Tek Copper
MCLOUD,Magellanic Cloud
MCX,MCX
MEDANTA,Global Health
MEDIASSIST,Medi Assist Health
MEDICAMEQ,Medicamen Biotech
MEDICO,Medico Remedies
MEDPLUS,Medplus Health Services
MEESHO,Meesho
MEGASTAR,Megastar Foods
MENNPIS,Menon Pistons
MENONBE,Menon Bearings
MERCANTILE,Mercantile Ventures
METAL,Mirae Asset Nifty
METALIETF,METALIETF
METROBRAND,Metro Brands
METROGLOBL,Metroglobal
METROPOLIS,Metropolis Health.
MFML,Mahalaxmi Fabric
MFSL,Max Fin Services
MGEL,Mangalam Global Entr
MGL,Mahanagar Gas
MHLXMIRU,MRT
MHRIL,Mahindra Holi.&Resor
MICEL,MIC Electronics
MID150,MID150
MID150BEES,MID150BEES
MID150CASE,Zerodha Nifty Midcap
MIDCAP,KOTAKMID50
MIDCAPADD,MIDCAPADD
MIDCAPBETA,NIFMID150
MIDCAPETF,MAM150ETF
MIDCAPIETF,ICICIM150
MIDHANI,Mishra Dhatu Nigam
MIDQ50ADD,DSPQ50ETF
MIDSELIETF,MIDSELIETF
MIDSMALL,MIDSMALL
MIDWESTLTD,Midwest
MINDACORP,Minda Corporation
MINDTECK,Mindteck (India)
MIRZAINT,Mirza International
MITCON,MITCON Consultancy
MITTAL,Mittal Life Style
MKPL,MK Proteins
MMFL,MM Forgings
MMP,MMP Industries
MMTC,MMTC
MNC,KOTAKMNC
MOALPHA50,MOALPHA50
MOBANK10,MOBANK10
MOBIKWIK,One Mobikwik Systems
MOCAPITAL,Motilal Oswal Nifty
MODEFENCE,MODEFENCE
MODIRUBBER,Modi Rubber
MODIS,Modi's Navnirman
MODTHREAD,Modern Threads
MOENERGY,Motilal Oswal Nifty
MOGOLD,MOGOLD
MOGSEC,MO 5 Year G-Sec ETF
MOHEALTH,MOHEALTH
MOHITIND,Mohit Industries
MOIL,MOIL
MOINFRA,MOINFRA
MOIPO,Motilal Oswal BSE
MOKSH,Moksh Ornaments
MOL,Meghmani
MOLDTECH,Mold-Tek Tech
MOLDTKPAC,Mold-Tek Packaging
MOLOWVOL,MOLOWVOL
MOM100,MOM100
MOM30IETF,MOM30IETF
MOM50,Motilal Oswal Mutual
MOMENTUM,Aditya Birla Nif200
MOMENTUM30,MOMENTUM30
MOMENTUM50,MOMENTUM50
MOMGF,MOMGF
MOMIDMTM,MOMIDMTM
MOMNC,MOMNC
MOMOMENTUM,MOMOMENTUM
MON100,Motilal-NASDAQ 100
MON50EQUAL,MON50EQUAL
MONARCH,Monarch Networth
MONEXT50,Motilal Oswal Nifty
MONEYBOXX,Moneyboxx Finance
MONIFTY100,Motilal Oswal Nifty
MONIFTY500,MONIFTY500
MONQ50,MONQ50
MONTECARLO,Monte Carlo Fashions
MOPSE,Motilal Oswal Nifty
MOQUALITY,Motilal Osl S&P BSEQ
MOREALTY,MOREALTY
MOREPENLAB,Morepen Labs
MOSCHIP,Moschip Tech
MOSERVICE,Motilal Oswal Nifty
MOSILVER,MOSILVER
MOSMALL250,MOSMALL250
MOTHERSON,Samvardhana Motherson
MOTILALOFS,MO Financial
MOTISONS,Motisons Jewellers
MOTOUR,Motilal Oswal Nifty
MOVALUE,Motilal S&P BSE EnVl
MPHASIS,Mphasis
MPSLTD,MPS
MRF,MRF
MRPL,MRPL
MSCI360,MSC1360O
MSCIADD,MSCIADD
MSCIINDIA,MSCIINDIA
MSPL,MSP Steel & Power
MSTCLTD,MSTC
MSUMI,Motherson Sumi Wiring India
MTARTECH,MTAR Technologies
MTNL,MTNL
MUFIN,Mufin Green Finance
MUFTI,Credo Brands Mktg
MUKANDLTD,Mukand
MUKKA,Mukka Proteins
MUKTAARTS,Mukta Arts
MULTICAP,MULTICAP
MUNJALAU,Munjal Auto Inds
MUNJALSHOW,Munjal Showa
MURUDCERA,Murudeshwar Ceramics
MUTHOOTCAP,Muthoot Capital Serv
MUTHOOTFIN,Muthoot Finance
MUTHOOTMF,Muthoot Microfin
MVGJL,Manoj Vaibhav Gems
MWL,Mangalam Worldwide
NACLIND,NACL Industries
NAGREEKEXP,Nagreeka Exports
NAHARCAP,Nahar Cap & Fin
NAHARINDUS,Nahar Inds Enter
NAHARPOLY,Nahar Poly Films
NAM-INDIA,Nippon Life India AMC
NARMADA,Narmada Agrobase
NATCAPSUQ,Natural Capsules
NATCOPHARM,Natco Pharma
NATHBIOGEN,Nath Bio-Genes
NATIONALUM,NALCO
NATIONSTD,National Stndrd
NAUKRI,Info Edge (India)
NAVA,Nava
NAVINFLUOR,Navin Fluorine Intl
NAVKARCORP,Navkar Corporation
NAVKARURB,Navkar Urban
NAVNETEDUL,Navneet Education
NAZARA,Nazara Technologies
NBCC,NBCC (India)
NBIFIN,NBI Industrial Fin
NCC,NCC
NCLIND,NCL Industries
NDGL,Naga Dhunseri Group
NDL,Nandan Denim
NDLVENTURE,NXTDigital
NDRAUTO,NDR Auto Components
NDTV,New Delhi Television
NEAGI,Neelamalai Agro
NECCLTD,North Eastern Carrying
NELCAST,Nelcast
NELCO,NELCO
NEOGEN,Neogen Chemicals
NEPHROPLUS,Nephrocare Health Se
NESCO,Nesco
NESTLEIND,Nestle
NETF,Tata Asset Mngt. Ltd.
NETWEB,Netweb Technologies
NETWORK18,Network18 Media
NEULANDLAB,Neuland Laboratories
NEWGEN,Newgen Software Tech
NEXT30ADD,DSP BSE Sensex Next
NEXT50,NEXT50
NEXT50ADD,NEXT50ADD
NEXT50BETA,UTINEXT50
NEXT50ETF,NEXT50ETF
NEXT50IETF,ICICINXT50
NEXTMEDIA,Next Mediaworks
NFL,National Fertilizers
NGLFINE,NGL Fine Chem
NH,Narayana Hrudayalaya
NHPC,NHPC
NIACL,New India Assurance
NIBE,NIBE
NIBL,NRB Inds Bearings
NIF100BEES,Nippon India ETF Nifty 100
NIF100IETF,ICICI Prud Nifty 100 ETF
NIFTY1,Kotak Nifty ETF
NIFTY100EW,NIFTY100EW
NIFTYADD,NIFTY50ADD
NIFTYBEES,NIFTYBEES
NIFTYBETA,UTINIFTETF
NIFTYBETF,NIFTYBETF
NIFTYCASE,NIFTYCASE
NIFTYETF,NIFTYETF
NIFTYIETF,ICICI Prudent.Nifty
NIFTYQLITY,Aditya Birla Nif200Q
NIITLTD,NIIT
NIITMTS,NIIT Learning Sys
NILAINFRA,Nila Infrastructures
NILASPACES,Nila Spaces
NILE,NILE
NILKAMAL,Nilkamal
NIPPOBATRY,Indo National
NIRAJISPAT,Niraj Ispat Inds
NIRLON,Nirlon
NITCO,Nitco
NITINSPIN,Nitin Spinners
NITIRAJ,Nitiraj Engg
NITTAGELA,Nitta Gelatin
NIVABUPA,Niva Bupa Health Ins
NKIND,NK Industries
NLCINDIA,NLC India
NMDC,NMDC
NOCIL,NOCIL
NORBTEAEXP,Norben Tea & Exports
NORTHARC,Northern Arc Capital
NOVAAGRI,Nova Agritech
NOVARTIND,Novartis
NPBET,NPBET
NPST,Network People S
NRAIL,NR Agarwal Inds
NRBBEARING,NRB Bearings
NRL,Nupur Recyclers
NSIL,Nalwa Sons Invst
NSLNISP,NMDC Steel
NTPC,NTPC
NTPCGREEN,NTPC Green Energy
NUCLEUS,Nucleus Software Exp
NURECA,Nureca
NUVAMA,Nuvama Wealth
NUVOCO,Nuvoco Vistas
NV20,KOTAKNV20
NV20BEES,Nippon India ETF NV20
NV20IETF,NV20IETF
NYKAA,Nykaa
OAL,Oriental Aromatics
OBCL,OBCL
OBEROIRLTY,Oberoi Realty
OCCLLTD,OCCL
ODIGMA,Odigma Consult Solut
OFSS,Oracle Finl. Service
OIL,Oil India
OILIETF,OILIETF
OLAELEC,Ola Electric Mobility
OLECTRA,Olectra Greentech
OMAXE,Omaxe
OMFREIGHT,Om Freight Forwarder
OMINFRAL,Om Infra
OMNI,Omnitech Engineering
OMPOWER,Om Power Trans
ONEPOINT,One Point One Solutions
ONESOURCE,Onesource Specialty
ONGC,ONGC
ONMOBILE,Onmobile Global
ONWARDTEC,Onward Technologies
OPTIEMUS,Optiemus infracom
ORBTEXP,Orbit Exports
ORCHASP,Cybermate Infotek
ORCHPHARMA,Orchid Pharma
ORICONENT,Oricon Enterprises
ORIENTALTL,Oriental Trimex
ORIENTBELL,Orient Bell
ORIENTCEM,Orient Cement
ORIENTCER,Orient Abrasives
ORIENTELEC,Orient Electric
ORIENTHOT,Oriental Hotels
ORIENTLTD,Orient Press
ORIENTPPR,Orient Paper
ORIENTTECH,Orient Technologies
ORISSAMINE,OMDC
ORKLAINDIA,Orkla India
ORTINGLOBE,Ortin Global
OSWALGREEN,Oswal Greentech
OSWALPUMPS,Oswal Pumps
OSWALSEEDS,ShreeOswal Seeds
PACEDIGITK,Pace Digitek
PAGEIND,Page Industries
PAISALO,Paisalo Digital
PAKKA,Pakka
PALASHSECU,Palash Securities
PANACEABIO,Panacea Biotec
PANACHE,Panache Digilife
PANAMAPET,Panama Petrochem
PANSARI,Pansari Developers
PAR,Par Drugs & Chemical
PARACABLES,Paramount Comm
PARADEEP,Paradeep Phsphts
PARAGMILK,Parag Milk Foods
PARAS,Paras Defence
PARASPETRO,Paras Petrofils
PARKHOSPS,Park Medi World
PARKHOTELS,Apeejay Surrendra Park
PASHUPATI,Pashupati Cotspin
PASUPTAC,Pasupati Acrylon
PATANJALI,Patanjali Foods
PATELENG,Patel Engineering
PATELRMART,Patel Retail
PATINTLOG,Patel Integrated Log
PAUSHAKLTD,Paushak
PAYTM,Paytm
PCBL,PCBL Chemical
PCJEWELLER,PC Jeweller
PDMJEPAPER,Pudumjee Paper
PDSL,Pds In
PENIND,Pennar Industries
PERSISTENT,Persistent Systems
PETRONET,Petronet LNG
PFC,Power Finance Corp
PFIZER,Pfizer
PFS,PTC Financial Serv
PGEL,PG Electroplast
PGHH,P&G
PGHL,P&G Health
PGIL,Pearl Global Inds.
PHARMABEES,NETFPHARMA
PHOENIXLTD,Phoenix Mills
PICCADIL,Piccadily Agro
PIDILITIND,Pidilite Industries
PIGL,Power & Instrument
PIIND,PI Industries
PILANIINVS,Pilani Investment
PINELABS,Pine Labs
PIONEEREMB,Pioneer Embroideries
PIONRINV,Pioneer Investcorp
PIRAMALFIN,Piramal Finance
PITTIENG,Pitti Engineering
PIXTRANS,Pix Transmission
PKTEA,Peria Karamalai Tea
PLASTIBLEN,Plastiblends India
PLATIND,Platinum Industries
PML,Paul Merchants
PNB,PNB
PNBGILTS,PNB Gilts
PNBHOUSING,PNB Housing Finance
PNC,Pritish Nandy Comm
PNCINFRA,PNC Infratech
PNGJL,PN Gadgil Jewellers
PNGSREVA,PNGS Reva Diamond
POCL,Pondy Oxides
PODDARMENT,Poddar Pigments
POKARNA,Pokarna
POLICYBZR,PolicyBazaar
POLYCAB,Polycab India
POLYMED,Poly Medicure
POLYPLEX,Polyplex Corporation
PONNIERODE,Ponni Sugars (Erode)
POONAWALLA,Poonawalla Fincorp
